Iterations,Seconds,Score
11390000,409,15.458456
11400000,409,15.467434
11410000,410,15.469822
11420000,410,15.464549
11430000,411,15.475204
11440000,411,15.460778
11450000,411,15.454969
11460000,412,15.460345
11470000,412,15.454451
11480000,412,15.446464
11490000,413,15.443382
11500000,413,15.452839
11510000,413,15.448683
11520000,414,15.449204
11530000,414,15.435067
11540000,415,15.435104
11550000,415,15.435067
11560000,415,15.439984
11570000,416,15.444633
11580000,416,15.424681
11590000,416,15.444349
11600000,417,15.433824
11610000,417,15.434319
11620000,417,15.428100
11630000,418,15.422475
11640000,418,15.432589
11650000,419,15.426863
11660000,419,15.416276
11670000,419,15.417887
11680000,420,15.419669
11690000,420,15.427079
11700000,421,15.423836
11710000,421,15.417234
11720000,421,15.411582
11730000,422,15.411775
11740000,422,15.403548
11750000,423,15.403344
11760000,423,15.407493
11770000,423,15.398625
11780000,424,15.410192
11790000,424,15.403169
11800000,424,15.405396
11810000,425,15.400095
11820000,425,15.403110
11830000,425,15.400757
11840000,426,15.391439
11850000,426,15.398258
11860000,427,15.395153
11870000,427,15.391870
11880000,427,15.378745
11890000,428,15.373211
11900000,428,15.381536
11910000,429,15.386451
11920000,429,15.387271
11930000,429,15.384258
11940000,430,15.379714
11950000,430,15.386543
11960000,430,15.365543
11970000,431,15.376036
11980000,431,15.373303
11990000,432,15.364146
12000000,432,15.371638
12010000,432,15.367988
12020000,433,15.369668
12030000,433,15.370317
12040000,434,15.360324
12050000,434,15.363947
12060000,434,15.362263
12070000,435,15.343995
12080000,435,15.359421
12090000,435,15.355322
12100000,436,15.357013
12110000,436,15.345363
12120000,437,15.347059
12130000,437,15.348016
12140000,437,15.347951
12150000,438,15.352130
12160000,438,15.351697
12170000,438,15.344410
12180000,439,15.338857
12190000,439,15.343418
12200000,440,15.339975
12210000,440,15.340771
12220000,440,15.340964
12230000,441,15.333298
12240000,441,15.337482
12250000,441,15.317368
12260000,442,15.331745
12270000,442,15.329903
12280000,443,15.322901
12290000,443,15.321831
12300000,443,15.330035
12310000,444,15.321329
12320000,444,15.319627
12330000,444,15.322156
12340000,445,15.320403
12350000,445,15.315396
12360000,445,15.311765
12370000,446,15.312812
12380000,446,15.316528
12390000,447,15.304628
12400000,447,15.310808
12410000,447,15.304145
12420000,448,15.314053
12430000,448,15.301655
12440000,448,15.298794
12450000,449,15.302048
12460000,449,15.303245
12470000,449,15.299245
12480000,450,15.295579
12490000,450,15.299342
12500000,451,15.291594
12510000,451,15.298671
12520000,451,15.299613
12530000,452,15.286268
12540000,452,15.280762
12550000,452,15.291780
12560000,453,15.279217
12570000,453,15.288281
12580000,454,15.278194
12590000,454,15.279515
12600000,454,15.277164
12610000,455,15.277870
12620000,455,15.268612
12630000,455,15.280151
12640000,456,15.270196
12650000,456,15.273831
12660000,457,15.274669
12670000,457,15.278765
12680000,457,15.267337
12690000,458,15.273477
12700000,458,15.263628
12710000,458,15.259788
12720000,459,15.271824
12730000,459,15.259921
12740000,459,15.261528
12750000,460,15.254194
12760000,460,15.258393
12770000,460,15.260505
12780000,461,15.254100
12790000,461,15.261794
12800000,462,15.243398
12810000,462,15.259005
12820000,462,15.255503
12830000,463,15.248743
12840000,463,15.252824
12850000,463,15.250993
12860000,464,15.248701
12870000,464,15.246773
12880000,465,15.239423
12890000,465,15.236237
12900000,465,15.240112
12910000,466,15.234452
12920000,466,15.237798
12930000,466,15.228388
12940000,467,15.237459
12950000,467,15.238237
12960000,467,15.232653
12970000,468,15.228495
12980000,468,15.224010
12990000,469,15.217898
13000000,469,15.232717
13010000,469,15.227094
13020000,470,15.226579
13030000,470,15.224781
13040000,470,15.229502
13050000,471,15.219750
13060000,471,15.214882
13070000,472,15.212081
13080000,472,15.214082
13090000,472,15.218900
13100000,473,15.213706
13110000,473,15.205163
13120000,473,15.204082
13130000,474,15.210252
13140000,474,15.215337
13150000,475,15.197197
13160000,475,15.201036
13170000,475,15.205225
13180000,476,15.196079
13190000,476,15.205755
13200000,476,15.196804
13210000,477,15.201314
13220000,477,15.188441
13230000,477,15.190268
13240000,478,15.192456
13250000,478,15.188868
13260000,479,15.190924
13270000,479,15.185276
13280000,479,15.186146
13290000,480,15.183536
13300000,480,15.188707
13310000,481,15.188421
13320000,481,15.185276
13330000,481,15.178016
13340000,482,15.179105
13350000,482,15.181543
13360000,483,15.180566
13370000,483,15.169087
13380000,483,15.165641
13390000,484,15.169183
13400000,484,15.176018
13410000,484,15.172232
13420000,485,15.164785
13430000,485,15.163660
13440000,486,15.162135
13450000,486,15.167538
13460000,486,15.148758
13470000,487,15.138316
13480000,487,15.157788
13490000,488,15.152689
13500000,488,15.165433
13510000,488,15.149627
13520000,489,15.141339
13530000,489,15.152786
13540000,489,15.155735
13550000,490,15.142627
13560000,490,15.136641
13570000,491,15.132719
13580000,491,15.145367
13590000,491,15.136490
13600000,492,15.131926
13610000,492,15.133451
13620000,492,15.128332
13630000,493,15.146411
13640000,493,15.131620
13650000,494,15.128655
13660000,494,15.127411
13670000,494,15.120160
13680000,495,15.140135
13690000,495,15.127586
13700000,495,15.114689
13710000,496,15.115110
13720000,496,15.121382
13730000,497,15.118762
13740000,497,15.110711
13750000,497,15.110408
13760000,498,15.104980
13770000,498,15.114775
13780000,499,15.117303
13790000,499,15.115967
13800000,499,15.113383
13810000,500,15.107855
13820000,500,15.109359
13830000,500,15.106961
13840000,501,15.105786
13850000,501,15.092480
13860000,502,15.100100
13870000,502,15.099482
13880000,502,15.100336
13890000,503,15.095214
13900000,503,15.098141
13910000,503,15.088391
13920000,504,15.092934
13930000,504,15.083729
13940000,505,15.091495
13950000,505,15.083602
13960000,505,15.084092
13970000,506,15.074413
13980000,506,15.077061
13990000,506,15.067898
14000000,507,15.084620
14010000,507,15.081658
14020000,508,15.072390
14030000,508,15.074842
14040000,508,15.069691
14050000,509,15.072349
14060000,509,15.064135
14070000,509,15.062625
14080000,510,15.066882
14090000,510,15.064492
14100000,511,15.069230
14110000,511,15.062610
14120000,511,15.058720
14130000,512,15.055980
14140000,512,15.061913
14150000,512,15.052140
14160000,513,15.060863
14170000,513,15.051714
14180000,513,15.047809
14190000,514,15.054548
14200000,514,15.044289
14210000,515,15.049740
14220000,515,15.043512
14230000,515,15.049686
14240000,516,15.045859
14250000,516,15.036791
14260000,516,15.042771
14270000,517,15.039796
14280000,517,15.038340
14290000,518,15.034250
14300000,518,15.041633
14310000,518,15.034089
14320000,519,15.034576
14330000,519,15.029924
14340000,520,15.030053
14350000,520,15.036145
14360000,520,15.031452
